Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,02 May 2005,5240,5240,32471.98
FUTCOM,03 May 2005,5306,5306,32691.64
FUTCOM,04 May 2005,3559,3559,21956.48
FUTCOM,05 May 2005,5219,5219,32199.49
FUTCOM,06 May 2005,8610,8610,52757.6
FUTCOM,07 May 2005,626,626,3830.13
FUTCOM,09 May 2005,3519,3519,21506.28
FUTCOM,10 May 2005,2956,2956,18113.01
FUTCOM,11 May 2005,4723,4723,28864.4
FUTCOM,12 May 2005,8124,8124,49325.45
FUTCOM,13 May 2005,7763,7763,46765.19
FUTCOM,14 May 2005,310,310,1869.65
FUTCOM,16 May 2005,4902,4902,29446.5
FUTCOM,17 May 2005,3755,3755,22628.07
FUTCOM,18 May 2005,3869,3869,23314.32
FUTCOM,19 May 2005,4167,4167,25119.09
FUTCOM,20 May 2005,5811,5811,34874.93
FUTCOM,21 May 2005,507,507,3030.71
FUTCOM,23 May 2005,3855,3855,23038.99
FUTCOM,24 May 2005,4464,4464,26714.35
FUTCOM,25 May 2005,3142,3142,18827.62
FUTCOM,26 May 2005,3924,3924,23529.66
FUTCOM,27 May 2005,3963,3963,23758.02
FUTCOM,28 May 2005,649,649,3898.14
FUTCOM,30 May 2005,3870,3870,23166.09
FUTCOM,31 May 2005,11374,11374,68051.73
FUTCOM,01 Jun 2005,3855,3855,23218.41
FUTCOM,02 Jun 2005,6875,6875,41708.99
FUTCOM,03 Jun 2005,6018,6018,36787.05
FUTCOM,04 Jun 2005,353,353,2154.36
FUTCOM,06 Jun 2005,4419,4419,27109.53
FUTCOM,07 Jun 2005,4232,4232,25945.36
FUTCOM,08 Jun 2005,3765,3765,23042.06
FUTCOM,09 Jun 2005,5286,5286,32227.27
FUTCOM,10 Jun 2005,7019,7019,42860.21
FUTCOM,11 Jun 2005,580,580,3550.61
FUTCOM,13 Jun 2005,7935,7935,48695.27
FUTCOM,14 Jun 2005,5033,5033,30883.3
FUTCOM,15 Jun 2005,4118,4118,25289.46
FUTCOM,16 Jun 2005,10851,10851,67149.81
FUTCOM,17 Jun 2005,7329,7329,45743.09
FUTCOM,18 Jun 2005,358,358,2236.21
FUTCOM,20 Jun 2005,5356,5356,33545.11
FUTCOM,21 Jun 2005,7755,7755,48255.48
FUTCOM,22 Jun 2005,3479,3479,21699.06
FUTCOM,23 Jun 2005,9684,9684,60555.14
FUTCOM,24 Jun 2005,9990,9990,62707.54
FUTCOM,25 Jun 2005,321,321,2011.32
FUTCOM,27 Jun 2005,3678,3678,23025.44
FUTCOM,28 Jun 2005,5427,5427,33830.19
FUTCOM,29 Jun 2005,7304,7304,45385.81
FUTCOM,30 Jun 2005,5616,5616,34970.77
FUTCOM,01 Jul 2005,16317,16317,100751.33
FUTCOM,02 Jul 2005,623,623,3829.2
FUTCOM,04 Jul 2005,1147,1147,7034.63
FUTCOM,05 Jul 2005,9672,9672,58968.6
FUTCOM,06 Jul 2005,4784,4784,29138.46
FUTCOM,07 Jul 2005,13280,13280,81241.01
FUTCOM,08 Jul 2005,9598,9598,58439.45
FUTCOM,09 Jul 2005,452,452,2754.43
FUTCOM,11 Jul 2005,6026,6026,36769.76
FUTCOM,12 Jul 2005,5433,5433,33201.26
FUTCOM,13 Jul 2005,6527,6527,39726.9
FUTCOM,14 Jul 2005,10997,10997,66585.78
FUTCOM,15 Jul 2005,9326,9326,56178.02
FUTCOM,16 Jul 2005,570,570,3447.83
FUTCOM,18 Jul 2005,6352,6352,38525.85
FUTCOM,19 Jul 2005,5832,5832,35166.06
FUTCOM,20 Jul 2005,7390,7390,44636.41
FUTCOM,21 Jul 2005,11235,11235,68080.92
FUTCOM,22 Jul 2005,6618,6618,40224.84
FUTCOM,23 Jul 2005,381,381,2313.9
FUTCOM,25 Jul 2005,4606,4606,27982.75
FUTCOM,26 Jul 2005,3708,3708,22489.05
FUTCOM,27 Jul 2005,7412,7412,44912.48
FUTCOM,29 Jul 2005,11627,11627,71052.36
FUTCOM,30 Jul 2005,2506,2506,15297.21
FUTCOM,01 Aug 2005,2050,2050,12639.85
FUTCOM,02 Aug 2005,3972,3972,24561.82
FUTCOM,03 Aug 2005,6922,6922,42969.91
FUTCOM,04 Aug 2005,9230,9230,57571.71
FUTCOM,05 Aug 2005,6020,6020,37598.44
FUTCOM,06 Aug 2005,161,161,1005.13
FUTCOM,08 Aug 2005,3765,3765,23459.75
FUTCOM,09 Aug 2005,4793,4793,29752.1
FUTCOM,10 Aug 2005,4421,4421,27547.26
FUTCOM,11 Aug 2005,12417,12417,78216.13
FUTCOM,12 Aug 2005,14896,14896,94876.76
FUTCOM,13 Aug 2005,445,445,2829.8
FUTCOM,16 Aug 2005,9051,9051,57180.31
FUTCOM,17 Aug 2005,14254,14254,900.41
FUTCOM,18 Aug 2005,13141,13141,82665.81
FUTCOM,19 Aug 2005,10454,10454,65543.56
FUTCOM,20 Aug 2005,626,626,3919.87
FUTCOM,22 Aug 2005,6671,6671,41882.9
FUTCOM,23 Aug 2005,4737,4737,29776.13
FUTCOM,24 Aug 2005,9153,9153,57454.28
FUTCOM,25 Aug 2005,4542,4542,28528.54
FUTCOM,26 Aug 2005,5218,5218,32728.93
